# %ECSV 1.0
# ---
# datatype:
# - {name: Skipped, datatype: string}
# - {name: Reason, datatype: string}
# delimiter: ','
# schema: astropy-2.0
Skipped,Reason
Calar 21,"no source found, L6T6"
Calar 21,"no source found, L6T6"
Calar 21,"no source found, L6T6"
Calar 21,"no source found, L6T6"
Calar 22,"no source found, L6T6"
Calar 22,"no source found, L6T6"
Calar 22,"no source found, L6T6"
Calar 22,"no source found, L6T6"
51 Eri b (cold-start),"no source found, L6T6"
51 Eri b (cold-start),"no source found, L6T6"
51 Eri b (cold-start),"no source found, L6T6"
51 Eri b (cold-start),"no source found, L6T6"
SDSS J105213.51+442255.7A,"no source found, L6T6"
SDSS J105213.51+442255.7A,"no source found, L6T6"
SDSS J105213.51+442255.7A,"no source found, L6T6"
SDSS J105213.51+442255.7A,"no source found, L6T6"
2MASSW J1728114+394859B,"no source found, L6T6"
2MASSW J1728114+394859B,"no source found, L6T6"
2MASSW J1728114+394859B,"no source found, L6T6"
2MASSW J1728114+394859B,"no source found, L6T6"
2MASS J14044948-3159330A,"no source found, L6T6"
2MASS J14044948-3159330A,"no source found, L6T6"
2MASS J14044948-3159330A,"no source found, L6T6"
2MASS J14044948-3159330A,"no source found, L6T6"
epsilon IndiBa,"no source found, L6T6"
epsilon IndiBa,"no source found, L6T6"
epsilon IndiBa,"no source found, L6T6"
epsilon IndiBa,"no source found, L6T6"
SDSS J105213.51+442255.7B,"no source found, L6T6"
SDSS J105213.51+442255.7B,"no source found, L6T6"
SDSS J105213.51+442255.7B,"no source found, L6T6"
SDSS J105213.51+442255.7B,"no source found, L6T6"
SDSSp J042348.57-041403.5B,"no source found, L6T6"
SDSSp J042348.57-041403.5B,"no source found, L6T6"
SDSSp J042348.57-041403.5B,"no source found, L6T6"
SDSSp J042348.57-041403.5B,"no source found, L6T6"
DENIS-P J225210.73-173013.4B,"no source found, L6T6"
DENIS-P J225210.73-173013.4B,"no source found, L6T6"
DENIS-P J225210.73-173013.4B,"no source found, L6T6"
DENIS-P J225210.73-173013.4B,"no source found, L6T6"
COCONUTS-1B,"no source found, L6T6"
COCONUTS-1B,"no source found, L6T6"
COCONUTS-1B,"no source found, L6T6"
COCONUTS-1B,"no source found, L6T6"
2MASS J14044948-3159330B,"no source found, L6T6"
2MASS J14044948-3159330B,"no source found, L6T6"
2MASS J14044948-3159330B,"no source found, L6T6"
2MASS J14044948-3159330B,"no source found, L6T6"
2MASS J15344984-2952274B,"no source found, L6T6"
2MASS J15344984-2952274B,"no source found, L6T6"
2MASS J15344984-2952274B,"no source found, L6T6"
2MASS J15344984-2952274B,"no source found, L6T6"
WISE J072003.20-084651.2B,"no source found, L6T6"
WISE J072003.20-084651.2B,"no source found, L6T6"
WISE J072003.20-084651.2B,"no source found, L6T6"
WISE J072003.20-084651.2B,"no source found, L6T6"
epsilon IndiBb,"no source found, L6T6"
epsilon IndiBb,"no source found, L6T6"
epsilon IndiBb,"no source found, L6T6"
epsilon IndiBb,"no source found, L6T6"
